identifier	gene_name	chromosome	status	n_obs	molecular_weight	gravy	pI	description
AT1G01350.1	C3H1	1	canonical	31	38.70957480000005	-1.0930029154518934	6.616877174377441	Zinc finger (CCCH-type/C3HC4-type RING finger) family protein
AT1G01360.1	PYL9	1	canonical	7	20.900662	-0.22513368983957227	5.891384315490721	regulatory component of ABA receptor 1
AT1G01370.1	HTR12	1	canonical	10	19.709190599999996	-0.7741573033707861	11.575443458557132	Histone superfamily protein
AT1G01390.1	U72B2	1	canonical	11	52.67184740000007	-0.009166666666666674	5.787482643127441	UDP-Glycosyltransferase superfamily protein
AT1G01400.1	Q9LNI3	1	canonical	4	22.3000867	-0.9436274509803914	6.237079048156737	hypothetical protein
AT1G01420.1	U72B3	1	canonical	29	52.78363770000008	-0.062162162162162166	5.4999910354614245	UDP-glucosyl transferase 72B3
AT1G01430.1	TBL25	1	canonical	18	52.50062430000004	-0.46973684210526334	5.784868049621582	TRICHOME BIREFRINGENCE-LIKE 25
AT1G01440.1	Q6NQ63	1	canonical	27	74.07005450000032	-0.8439759036144573	5.9949449539184565	hypothetical protein (DUF3133)
AT1G01453.1	B3H6G3	1	canonical	8	29.658529100000017	-0.10561797752808992	9.86445255279541	late embryogenesis abundant hydroxyproline-rich glycoprotein family protein
AT1G01470.1	LEA14	1	canonical	44	16.542830299999988	0.05629139072847675	4.743520927429199	Late embryogenesis abundant protein
AT1G01490.1	HIP39	1	canonical	26	19.7805721	-1.0158192090395481	7.657428550720215	Heavy metal transport/detoxification superfamily protein
AT1G01500.1	Y1015	1	canonical	9	35.9252223	-0.25198776758409785	5.251945686340331	Erythronate-4-phosphate dehydrogenase family protein
AT1G01510.1	CTBP	1	canonical	48	70.14883720000039	-0.30188679245283034	6.162904167175292	NAD(P)-binding Rossmann-fold superfamily protein
AT1G01540.1	Y1154	1	canonical	34	42.774565700000025	-0.02176165803108808	6.674170875549317	Protein kinase superfamily protein
AT1G01550.1	BPS1	1	canonical	13	38.58309820000004	-0.11547277936962734	8.98013973236084	BPS1-like protein (DUF793)
AT1G01560.1	MPK11	1	canonical	72	31.595921600000025	-0.19709090909090937	6.795976829528808	MAP kinase 11
AT1G01570.1	F4HU33	1	canonical	6	55.079611500000105	-0.2805439330543932	8.894138908386232	transferring glycosyl group transferase (DUF604)
AT1G01580.1	FRO2	1	canonical	26	81.50006730000057	0.2525517241379311	9.36817493438721	ferric reduction oxidase 2
AT1G01590.1	FRO1	1	canonical	5	79.59911510000046	0.3106534090909091	9.55842113494873	ferric reduction oxidase 1
AT1G01600.1	C86A4	1	canonical	36	62.602576300000194	-0.10144404332129985	8.21567363739014	cytochrome P450%2C family 86%2C subfamily A%2C polypeptide 4
AT1G01610.1	GPAT4	1	canonical	71	56.26139810000001	0.09562624254473116	9.211774635314942	glycerol-3-phosphate acyltransferase 4
AT1G01620.1	PIP13	1	canonical	118	30.632218500000008	0.38111888111888065	9.015081596374515	plasma membrane intrinsic protein 1C
AT1G01630.1	Q9LQ96	1	canonical	30	29.215515900000014	-0.45254901960784366	6.96325397491455	Sec14p-like phosphatidylinositol transfer family protein
AT1G01640.1	Y1164	1	canonical	7	23.371491800000022	-0.3207729468599035	5.983747673034667	BTB/POZ domain-containing protein
AT1G01650.1	SIPL4	1	canonical	9	59.970115300000046	0.5214814814814823	8.375490760803224	SIGNAL PEPTIDE PEPTIDASE-LIKE 4
AT1G01680.1	PUB54	1	canonical	8	35.39153750000001	-0.7831168831168828	6.394466209411622	plant U-box 54
AT1G01710.1	F4HU51	1	canonical	34	48.154496700000074	-0.2245901639344264	7.21038990020752	acyl-CoA thioesterase II
AT1G01720.1	NAC2	1	canonical	13	32.921947100000025	-0.6612456747404845	6.150683784484862	NAC (No Apical Meristem) domain transcriptional regulator superfamily protein
AT1G01730.1	Q9LQ83	1	canonical	16	24.30600410000001	-0.6861607142857146	6.003925514221191	hypothetical protein
AT1G01740.1	BSK4	1	canonical	15	54.037930500000165	-0.2811594202898554	5.45309886932373	kinase with tetratricopeptide repeat domain-containing protein
AT1G01750.1	ADF10	1	canonical	23	16.341398999999992	-0.625714285714286	5.536026954650878	actin depolymerizing factor 11
AT1G01760.1	TAD1	1	canonical	7	46.49250800000001	-0.368809523809524	9.214998054504395	denosine deaminases acting on tRNA
AT1G01770.1	Q8GZ85	1	canonical	23	68.99929430000014	-0.10664556962025318	5.703360939025879	propionyl-CoA carboxylase
AT1G01780.1	PLI2B	1	canonical	31	22.98885830000001	-0.49707317073170754	6.775060081481934	GATA type zinc finger transcription factor family protein
AT1G01790.1	KEA1	1	canonical	113	128.03189440000108	0.07988264878457711	5.223241996765136	K+ efflux antiporter 1
AT1G01800.1	Q94K30	1	canonical	56	31.659817400000044	0.021355932203389858	5.273032951354979	NAD(P)-binding Rossmann-fold superfamily protein
AT1G01820.1	PX11C	1	canonical	18	25.91211340000001	-0.022978723404255257	9.77825832366943	peroxin 11c
AT1G01830.1	Q93YW3	1	canonical	8	61.92341000000021	-0.01463414634146338	8.148690986633301	ARM repeat superfamily protein
AT1G01840.1	Q9LQ71	1	canonical	6	16.94182809999999	-0.4750000000000001	4.975935554504394	AP2-like ethylene-responsive transcription factor SNZ
AT1G01860.1	DIM1C	1	canonical	12	38.02220610000007	-0.17288629737609335	8.766684913635256	Ribosomal RNA adenine dimethylase family protein
AT1G01880.1	GENL1	1	canonical	5	67.19191320000023	-0.39315525876460766	7.978752326965332	5'-3' exonuclease family protein
AT1G01900.1	SBT11	1	canonical	74	83.24647750000048	-0.006201550387596957	8.434930610656739	subtilase family protein
AT1G01910.1	GET3A	1	canonical	37	39.67005250000004	-0.12832861189801698	4.731584739685059	P-loop containing nucleoside triphosphate hydrolases superfamily protein
AT1G01920.1	F4HU79	1	canonical	24	64.67189770000016	-0.27762237762237757	4.92353000640869	SET domain-containing protein
AT1G01930.1	Q9LPC8	1	canonical	32	65.25936560000025	-0.7622413793103436	6.683378791809083	zinc finger protein-like protein
AT1G01940.1	CP18A	1	canonical	23	17.502768599999992	-0.31250000000000033	8.442408943176272	Cyclophilin-like peptidyl-prolyl cis-trans isomerase family protein
AT1G01950.1	KINUB	1	canonical	52	98.4214607000007	-0.41498881431767165	6.580557060241699	armadillo repeat kinesin 2
AT1G01960.1	BIG3	1	canonical	157	194.94036160000027	-0.12199999999999947	5.433318901062011	SEC7-like guanine nucleotide exchange family protein
AT1G01970.1	PPR1	1	canonical	27	46.07689700000005	-0.12029339853300741	6.575498390197754	Tetratricopeptide repeat (TPR)-like superfamily protein
AT1G01980.1	BBE1	1	canonical	33	60.10213570000007	-0.21903881700554534	9.00566921234131	FAD-binding Berberine family protein
AT1G02000.1	GAE2	1	canonical	37	48.13258960000002	-0.20622119815668233	9.94284610748291	UDP-D-glucuronate 4-epimerase 2
AT1G02010.1	SEC1A	1	canonical	62	76.10700940000041	-0.48707280832095046	7.9901632308959964	secretory 1A
AT1G02020.1	O23673	1	canonical	26	71.36504730000037	-0.23707165109034234	6.177227592468261	nitroreductase family protein
AT1G02050.1	PKSA	1	canonical	37	43.61663709999999	-0.2283544303797471	6.00938205718994	Chalcone and stilbene synthase family protein
AT1G02060.1	PPR2	1	canonical	12	80.83085470000037	-0.13154929577464838	8.684036445617675	Tetratricopeptide repeat (TPR)-like superfamily protein
AT1G02065.1	SPL8	1	canonical	13	36.82664210000013	-0.8720720720720722	9.011342430114745	squamosa promoter binding protein-like 8
AT1G02070.1	Q0IGM8	1	canonical	3	14.729326199999983	-0.8832061068702293	8.948356819152835	zinc ion-binding protein
AT1G02080.1	F4HVV6	1	canonical	193	269.8840912000017	-0.09580419580419544	5.39154224395752	transcription regulator
AT1G02090.1	CSN7	1	canonical	30	29.468505800000017	-0.39692307692307677	5.498115348815917	Proteasome component (PCI) domain protein
AT1G02100.1	LCMT1	1	canonical	25	37.549214000000084	-0.24969879518072313	5.7646333694458	Leucine carboxyl methyltransferase
AT1G02110.1	Q56W45	1	canonical	22	79.17875730000033	-0.704267425320055	7.360672187805175	bZIP domain class transcription factor (DUF630 and DUF632)
AT1G02120.1	VAD1	1	canonical	50	67.70107750000015	-0.39180602006688964	5.902581596374512	GRAM domain family protein
AT1G02130.1	RAD2A	1	canonical	39	22.64822319999999	-0.3738916256157637	5.024305534362793	RAS 5
AT1G02140.1	MGN	1	canonical	29	17.457661900000005	-0.40333333333333354	5.436558723449706	mago nashi family protein
AT1G02145.1	ALG12	1	canonical	9	56.803106200000066	0.30933062880324563	9.2178991317749	homolog of asparagine-linked glycosylation 12
AT1G02150.1	PPR3	1	canonical	57	59.88213230000007	-0.32996183206106844	8.23630352020264	Tetratricopeptide repeat (TPR)-like superfamily protein
AT1G02160.1	Q8VZ44	1	canonical	7	8.061023799999996	-0.8802816901408451	8.962797737121583	Cox19 family protein (CHCH motif)
AT1G02170.1	MCA1	1	canonical	20	39.79188790000006	-0.27738419618528665	7.146275520324706	metacaspase 1
AT1G02180.1	Q8GYG8	1	canonical	3	24.78729200000001	0.11681415929203538	7.050388145446777	ferredoxin-like protein
AT1G02190.1	CERL1	1	canonical	39	72.09170310000027	-0.046092503987240935	7.435358619689941	Fatty acid hydroxylase superfamily
AT1G02205.1	CER1	1	canonical	47	52.97688860000007	0.022559652928416267	7.667148017883301	Fatty acid hydroxylase superfamily
AT1G02260.1	O81915	1	canonical	5	54.723469100000074	0.4629482071713157	7.0089525222778315	Divalent ion symporter
AT1G02270.1	YC22	1	canonical	18	55.47362490000007	-0.29359504132231423	7.675446510314942	Calcium-binding endonuclease/exonuclease/phosphatase family
AT1G02280.1	TOC33	1	canonical	43	32.92477460000001	-0.13973063973063973	9.108625221252442	translocon at the outer envelope membrane of chloroplasts 33
AT1G02300.1	CATB1	1	canonical	10	42.262807500000015	-0.058047493403694035	6.739763069152833	Cysteine proteinases superfamily protein
AT1G02305.1	CATB2	1	canonical	43	40.03285970000001	-0.21657458563535922	6.453351402282714	Cysteine proteinases superfamily protein
AT1G02310.1	MAN1	1	canonical	5	46.289805100000066	-0.2520681265206816	5.695687675476075	Glycosyl hydrolase superfamily protein
AT1G02330.1	CSU2	1	canonical	38	32.34886220000004	-1.1824372759856632	6.35473575592041	integrator complex subunit-like protein
AT1G02335.1	GL22	1	canonical	19	23.440886300000003	0.1182648401826483	8.73167858123779	germin-like protein subfamily 2 member 2 precursor
AT1G02360.1	A0A1P8AWZ7	1	canonical	17	30.13653059999999	-0.3014705882352943	7.546024131774904	Chitinase family protein
AT1G02370.1	PPR4	1	canonical	50	60.3525470000001	-0.32327746741154556	5.978632164001465	Tetratricopeptide repeat (TPR)-like superfamily protein
AT1G02390.1	GPAT2	1	canonical	5	59.967394600000134	0.07150943396226417	9.437220573425293	glycerol-3-phosphate acyltransferase 2
AT1G02400.1	G2OX6	1	canonical	2	36.83752900000004	-0.3200607902735565	6.406402397155762	gibberellin 2-oxidase 6
AT1G02410.1	COX11	1	canonical	15	32.60422989999999	-0.5010452961672477	8.133283042907717	cytochrome c oxidase assembly protein CtaG / Cox11 family
AT1G02420.1	PPR5	1	canonical	17	56.55597970000001	-0.2217922606924647	7.93291530609131	Pentatricopeptide repeat (PPR) superfamily protein
AT1G02430.1	F4HXI4	1	canonical	2	21.252828300000004	-0.3457894736842105	5.491180992126464	ADP-ribosylation factor D1B
AT1G02450.1	NIMI1	1	canonical	4	16.81745749999999	-1.2556338028169012	5.019758415222167	NIM1-interacting 1
AT1G02460.1	Q9FWX5	1	canonical	7	53.462321200000005	-0.37963340122199646	5.995570182800292	Pectin lyase-like superfamily protein
AT1G02470.1	F4HXI8	1	canonical	4	24.584330100000006	-0.034999999999999996	9.913384056091306	Polyketide cyclase/dehydrase and lipid transport superfamily protein
AT1G02475.1	Q94K52	1	canonical	12	25.036816400000017	-0.17945205479452073	9.94310398101807	Polyketide cyclase/dehydrase and lipid transport superfamily protein
AT1G02500.1	METK1	1	canonical	318	43.15755310000007	-0.30610687022900823	5.507266426086424	S-adenosylmethionine synthetase 1
AT1G02520.1	AB11B	1	canonical	81	137.6650767000007	0.14733959311424097	7.570919609069826	P-glycoprotein 11
AT1G02530.1	AB12B	1	canonical	58	136.77200080000065	0.1805970149253733	7.818870735168457	P-glycoprotein 12
AT1G02560.1	CLPP5	1	canonical	75	32.35552670000002	-0.19765100671140956	8.34699573516846	nuclear encoded CLP protease 5
AT1G02620.1	Q3E6Q3	1	canonical	20	13.825784499999983	0.0368852459016393	4.950130653381346	Ras-related small GTP-binding family protein
AT1G02640.1	BXL2	1	canonical	62	82.98392640000034	-0.08268229166666662	8.622855949401856	beta-xylosidase 2
AT1G02660.1	PLIP2	1	canonical	2	78.34515000000042	-0.30546984572229985	5.169244956970213	alpha/beta-Hydrolases superfamily protein
AT1G02680.1	TAF13	1	canonical	8	14.254088499999982	-0.6039682539682544	5.754118156433106	TBP-associated factor 13
AT1G02690.1	IMPA6	1	canonical	60	59.388225900000045	-0.3587360594795534	5.035161781311035	importin alpha isoform 6
AT1G02700.1	Q9FWY8	1	canonical	34	27.4550791	-0.925506072874493	5.197834968566894	GATA transcription factor-like protein
AT1G02730.1	CSLD5	1	canonical	47	132.5850221000003	-0.2762912785774752	8.000542640686035	cellulose synthase-like D5
AT1G02740.1	MRG2	1	canonical	15	37.62843460000003	-0.6308868501529051	5.778615760803221	MRG family protein
AT1G02750.1	DI192	1	canonical	7	25.105361500000015	-0.8438914027149321	4.780352592468262	Drought-responsive family protein
AT1G02770.1	Y1277	1	canonical	12	36.06570990000003	-0.34588607594936743	5.1207612991333	hypothetical protein
AT1G02780.1	RL191	1	canonical	132	24.6060358	-0.9892523364485976	11.353414344787598	Ribosomal protein L19e family protein
AT1G02790.1	PGLR1	1	canonical	50	44.4293371	0.024881516587677725	8.511647987365723	polygalacturonase 4
AT1G02800.1	GUN1	1	canonical	33	55.41808920000005	-0.2544910179640721	8.032003211975098	cellulase 2
AT1G02810.1	PME7	1	canonical	14	63.951385100000216	-0.20932642487046646	8.90303554534912	Plant invertase/pectin methylesterase inhibitor superfamily
AT1G02813.1	F4HXM8	1	canonical	15	16.84827419999999	0.12348993288590625	9.251809501647948	pectinesterase (Protein of unknown function%2C DUF538)
AT1G02816.1	Q9SRX5	1	canonical	17	18.496007999999996	0.17409638554216864	5.080405616760252	pectinesterase (Protein of unknown function%2C DUF538)
AT1G02820.1	LEA2	1	canonical	2	9.827006299999994	-0.4912087912087913	9.394993782043457	Late embryogenesis abundant 3 (LEA3) family protein
AT1G02830.1	RL221	1	canonical	5	14.450408499999982	-0.5606299212598423	9.757563972473143	Ribosomal L22e protein family
AT1G02840.1	SR34	1	canonical	39	33.728824200000055	-1.250825082508253	11.060534477233887	RNA-binding (RRM/RBD/RNP motifs) family protein
AT1G02850.1	BGL11	1	canonical	22	52.580777100000056	-0.2100000000000001	5.799589347839355	beta glucosidase 11
AT1G02870.1	Q8RWK5	1	canonical	21	22.103043400000004	-0.8424870466321248	9.588205528259277	nucleolar-like protein
AT1G02880.1	TPK1	1	canonical	24	22.166898300000007	-0.36142131979695474	5.712341499328613	thiamin pyrophosphokinase1
AT1G02890.1	F4HZ82	1	canonical	89	135.98835250000099	-0.38138041733547173	5.697051811218262	AAA-type ATPase family protein
AT1G02910.1	LPA1	1	canonical	38	50.738429500000066	-0.3501103752759388	9.371785163879395	tetratricopeptide repeat (TPR)-containing protein
AT1G02920.1	GSTF7	1	canonical	116	23.597819800000018	-0.2124401913875598	6.143635749816894	glutathione S-transferase 7
AT1G02930.1	GSTF6	1	canonical	136	23.485628800000026	-0.21875000000000003	5.800726127624511	glutathione S-transferase 6
AT1G02940.1	GSTF5	1	canonical	6	29.84891690000001	-0.5312500000000002	9.264445304870605	glutathione S-transferase (class phi) 5
AT1G02950.1	GSTF4	1	canonical	19	28.53056050000004	-0.5131687242798358	8.814133644104007	glutathione S-transferase F4
AT1G02960.1	F4HZ93	1	canonical	5	51.06810140000012	-0.6543290043290036	4.879025077819825	kinetochore protein
AT1G02970.1	WEE1	1	canonical	7	56.529589700000024	-0.5879999999999993	8.350992774963384	WEE1-like kinase
AT1G02980.1	CUL2	1	canonical	35	85.96389870000051	-0.4028301886792442	7.2598966598510755	cullin 2
AT1G02990.1	F4HZ99	1	canonical	35	118.44135910000082	-0.9040224508886799	8.91006259918213	hypothetical protein
AT1G03000.1	PEX6	1	canonical	70	103.04403600000092	-0.19574920297555806	5.788789939880371	peroxin 6
AT1G03010.1	Y1301	1	canonical	5	71.15896230000037	-0.2146687697160885	8.86667537689209	Phototropic-responsive NPH3 family protein
AT1G03030.1	Q500U9	1	canonical	34	34.056639800000006	-0.3285714285714288	7.054253196716308	P-loop containing nucleoside triphosphate hydrolases superfamily protein
AT1G03040.1	BH007	1	canonical	14	32.70381850000003	-0.42615894039735047	6.140964317321777	basic helix-loop-helix (bHLH) DNA-binding superfamily protein
AT1G03050.1	CAP4	1	canonical	28	66.97040900000016	-0.524040066777963	4.8399766921997065	ENTH/ANTH/VHS superfamily protein
AT1G03055.1	D27	1	canonical	5	29.794824100000014	-0.3583333333333334	8.935463142395022	beta-carotene isomerase D27-like protein
AT1G03060.1	BCHA1	1	canonical	152	400.88933900000274	-0.14529297417384027	5.747809028625488	BEACH-DOMAIN HOMOLOG A1
AT1G03080.1	NET1D	1	canonical	94	198.54765260000104	-0.7028274668205452	5.0148134231567365	kinase interacting (KIP1-like) family protein
AT1G03090.1	MCCA	1	canonical	305	78.3680338000003	-0.2841736694677873	6.305342674255372	methylcrotonyl-CoA carboxylase alpha chain
AT1G03100.1	PPR6	1	canonical	17	89.23807290000053	-0.24161412358133688	8.943392753601074	Pentatricopeptide repeat (PPR) superfamily protein
AT1G03103.1	LTG19	1	canonical	2	17.66396129999999	0.2608187134502923	8.692933082580566	Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein
AT1G03110.1	Q93WD7	1	canonical	27	46.44327410000011	-0.06206088992974236	5.423144721984862	Transducin/WD40 repeat-like superfamily protein
AT1G03120.1	LEA3	1	canonical	18	18.941428099999975	-0.5642857142857147	4.5764142990112315	responsive to abscisic acid 28
AT1G03130.1	PSAD2	1	canonical	173	22.306341399999997	-0.38774509803921575	9.784511756896972	photosystem I subunit D-2
AT1G03140.1	Q9SA55	1	canonical	39	47.880956700000056	-0.8033333333333328	9.094184303283694	splicing factor Prp18 family protein
AT1G03150.1	NAA20	1	canonical	18	20.395179900000006	-0.4505747126436781	7.800045967102052	Acyl-CoA N-acyltransferases (NAT) superfamily protein
AT1G03160.1	FZL	1	canonical	87	100.72928750000082	-0.10274122807017579	5.717741203308106	FZO-like protein
AT1G03180.1	Q5Q0J3	1	canonical	2	30.012392000000023	-0.3328301886792454	9.241172218322752	non-structural protein
AT1G03190.1	ERCC2	1	canonical	48	86.23454140000045	-0.14538258575197913	7.228464698791504	RAD3-like DNA-binding helicase protein
AT1G03210.1	Q9ZVS2	1	canonical	17	31.7097239	-0.027272727272727233	4.869646644592284	Phenazine biosynthesis PhzC/PhzF protein
AT1G03220.1	Q9ZVS4	1	canonical	120	45.716826900000044	0.23625866050808292	8.968986701965335	Eukaryotic aspartyl protease family protein
AT1G03230.1	Q9ZVS5	1	canonical	91	46.14755260000005	0.23225806451612876	9.332201576232912	Eukaryotic aspartyl protease family protein
AT1G03250.1	Q8L3X7	1	canonical	12	27.719196300000025	-0.5028571428571436	6.54651050567627	R3H domain protein
AT1G03260.1	Q6NMJ6	1	canonical	2	29.54897930000002	0.7620437956204383	8.574117851257324	SNARE associated Golgi protein family
AT1G03270.1	Y1327	1	canonical	15	54.661057600000056	0.1827655310621243	6.442040443420409	CBS domain protein with a domain protein (DUF21)
AT1G03280.1	Q93ZW3	1	canonical	50	54.12298360000011	-0.8657620041753645	5.018792152404784	Transcription factor TFIIE%2C alpha subunit
AT1G03290.1	Q9ZVT0	1	canonical	14	63.32673350000017	-0.5383537653239926	4.65826244354248	ELKS/Rab6-interacting/CAST family protein
AT1G03300.1	DUF1	1	canonical	9	76.28951540000047	-0.6613432835820885	5.326632118225096	agenet domain protein (DOMAIN OF UNKNOWN FUNCTION 724 1)
AT1G03310.1	ISOA2	1	canonical	49	98.88273100000065	-0.27267573696145087	5.645328330993652	debranching enzyme 1
AT1G03330.1	LSM2	1	canonical	13	10.694122099999992	-0.26129032258064516	6.8208723068237305	Small nuclear ribonucleoprotein family protein
AT1G03350.1	Q9ZVT6	1	canonical	67	51.89489330000023	-1.0119148936170212	4.236232948303221	BSD domain-containing protein
AT1G03360.1	RRP4	1	canonical	18	36.57342260000003	-0.34689440993788845	6.844403648376464	ribosomal RNA processing 4
AT1G03365.1	RF4	1	canonical	24	91.53618720000064	-0.6467800729040084	8.805881690979007	RING/U-box superfamily protein
AT1G03370.1	C2GR1	1	canonical	34	114.20322690000067	-0.2884313725490195	5.4703779220581055	C2 calcium/lipid-binding and GRAM domain containing protein
AT1G03380.1	AT18G	1	canonical	40	104.57655180000062	-0.3216892596454637	6.55247859954834	yeast autophagy 18 G-like protein
AT1G03390.1	Q9LR83	1	canonical	2	52.085461800000076	-0.13188720173535806	6.857703971862793	HXXXD-type acyl-transferase family protein
AT1G03400.1	ACCH4	1	canonical	16	39.13020250000006	-0.22079772079772111	5.78100299835205	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
AT1G03410.1	ACCH5	1	canonical	11	44.845320900000054	-0.22512562814070375	7.204194450378417	2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
AT1G03430.1	AHP5	1	canonical	14	17.925207399999994	-0.3063694267515924	4.999864768981933	histidine-containing phosphotransfer factor 5
AT1G03440.1	F4I0W7	1	canonical	11	43.593944300000054	0.1589420654911836	8.776935386657716	Leucine-rich repeat (LRR) family protein
AT1G03445.1	BSU1	1	canonical	19	87.78776240000055	-0.26216897856242055	4.8526517868041985	Serine/threonine protein phosphatase family protein
AT1G03457.1	F4I0X0	1	canonical	22	47.62293050000003	-0.4083916083916082	9.113653755187986	RNA-binding (RRM/RBD/RNP motifs) family protein
AT1G03470.1	NET3A	1	canonical	6	31.48065970000003	-0.9910780669144981	4.96462459564209	Kinase interacting (KIP1-like) family protein
AT1G03475.1	HEM61	1	canonical	103	43.795687199999996	-0.5437823834196891	6.236396980285644	Coproporphyrinogen III oxidase
AT1G03495.1	A0A2H1ZEA8	1	canonical	18	38.46267420000002	-0.06416184971098264	6.211956214904785	HXXXD-type acyl-transferase family protein
AT1G03510.1	PPR7	1	canonical	5	47.57639150000006	0.021445221445221374	6.89106845855713	Tetratricopeptide repeat (TPR)-like superfamily protein
AT1G03520.1	Q9LR71	1	canonical	7	51.5032186000001	-0.3570469798657722	8.735804557800293	Core-2/I-branching beta-1%2C6-N-acetylglucosaminyltransferase family protein
AT1G03530.1	Q9LR70	1	canonical	20	88.83719910000015	-0.9089887640449444	4.251863670349121	nuclear assembly factor 1
AT1G03540.1	PPR8	1	canonical	10	67.40112790000015	-0.04220032840722495	8.74902057647705	Pentatricopeptide repeat (PPR-like) superfamily protein
AT1G03550.1	SCAM2	1	canonical	4	31.87263790000003	0.11978798586572398	6.604599952697755	Secretory carrier membrane protein (SCAMP) family protein
AT1G03560.1	PPR9	1	canonical	4	74.62766000000042	-0.18696969696969723	8.071264457702636	Pentatricopeptide repeat (PPR-like) superfamily protein
AT1G03590.1	P2C01	1	canonical	20	50.97494640000016	-0.4218614718614721	5.2379064559936515	Protein phosphatase 2C family protein
AT1G03600.1	PB27A	1	canonical	65	18.834430799999993	-0.2517241379310345	9.881020927429198	photosystem II family protein
AT1G03610.1	Q8LF98	1	canonical	9	35.773753100000064	-0.5561688311688308	5.223412513732909	plant/protein (DUF789)
AT1G03620.1	A2RVK8	1	canonical	6	30.546839000000023	-0.37849056603773634	7.671695137023926	ELMO/CED-12 family protein
